FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	AXA4.2	AXA4.1	AA3.1	AA5.2	AA5.1	AA7.1	AA7.3	AA7.2	AA1.1	AA5.3	AA1.2	AXA2.1	AA1.3	AA4.1	AXA5.1	AXA2.3	AA2.1	AA4.2	AA3.3	AA6.1	AXA3.1	AA3.2	AXA4.3	AXA1.1	AA2.2	AXA1.2	AXA3.2	AXA5.2	AA6.3	AA4.3	AA2.3	AXA1.3	AXA3.3	AXA5.3	AXA6.1	AXA6.2	AXA6.3	AXA7.1	AXA7.2	AXA7.3
1080180000	43.54	213.326	178.282	150.883	285.276	172.875	162.911	273.393	168.192	235.939	274.103	242.009	215.086	336.513	340.632	219.526	196.388	370.457	317.017	330.043	263.052	292.735	300.368	195.347	290.709	365.359	334.915	305.821	214.146	269.466	245.658	227.272	207.495	473.564	240.009	232.699	256.655	225.982	216.747	215.972	214.636
1110020000	43.79	216.726	170.694	162.733	281.767	166.229	163.430	272.957	160.808	233.913	277.402	248.361	207.860	330.060	336.675	213.543	195.165	376.362	308.103	334.436	263.517	290.068	306.547	196.857	281.598	359.915	334.009	298.496	213.204	265.991	239.719	230.412	207.277	475.299	244.580	233.513	249.867	218.486	209.326	216.028	216.900
1110060000	43.79	211.116	175.388	161.250	287.474	173.646	160.380	272.154	172.949	235.157	275.709	251.954	209.366	330.581	340.564	215.336	188.427	371.681	318.316	332.821	265.750	278.256	305.675	195.316	289.838	360.761	325.487	300.846	213.282	267.914	245.675	232.623	201.723	474.496	234.455	229.770	257.602	218.404	211.421	216.679	209.473
1110100000	43.79	210.695	177.153	159.217	288.888	170.188	167.013	268.675	170.641	232.357	276.803	255.315	218.323	331.145	340.863	218.690	196.136	366.526	309.496	322.641	267.741	283.932	308.248	209.122	285.077	365.342	341.197	305.692	213.718	272.931	247.228	231.105	208.634	466.650	241.250	230.496	251.354	227.972	212.874	217.119	216.182
1110140000	43.79	214.547	177.835	152.817	283.845	174.125	166.241	279.308	165.410	242.157	270.624	251.769	217.710	332.231	344.615	222.672	196.553	376.371	316.889	331.573	268.362	292.564	305.376	194.541	286.214	363.368	338.316	311.291	218.146	264.569	236.254	222.842	207.317	478.214	239.643	235.319	254.089	220.000	209.242	220.587	216.964
1110180000	43.80	218.232	180.047	162.717	290.060	175.521	162.987	259.188	165.115	239.435	273.051	256.509	214.839	332.906	344.376	216.052	199.738	373.121	313.291	332.179	267.629	293.709	304.573	197.367	291.051	369.966	339.222	304.299	212.786	272.069	244.377	229.886	212.921	483.316	245.679	234.239	252.487	219.862	215.253	221.183	223.473
1140020000	44.04	209.000	167.953	150.967	288.733	171.125	169.696	266.940	168.628	235.304	273.359	251.407	207.172	330.368	339.273	216.026	196.282	372.828	318.581	326.966	274.224	284.256	308.308	195.286	289.256	366.291	335.402	308.350	209.845	268.052	238.430	226.667	207.713	472.974	245.429	230.982	256.973	219.312	214.653	215.596	220.773
1140060000	44.04	206.600	181.800	164.867	283.448	167.625	162.987	277.838	171.346	235.522	273.538	247.343	209.323	330.778	345.957	216.259	196.573	372.026	316.051	334.017	264.095	285.615	311.060	191.306	281.060	362.137	336.410	303.658	211.340	271.138	244.447	231.561	204.465	476.359	240.866	232.522	247.150	221.128	206.411	220.945	220.191
1140100000	44.04	217.474	178.812	161.283	290.931	170.458	168.367	271.667	172.936	235.061	274.462	253.620	214.979	324.026	338.265	217.836	194.845	373.129	320.940	329.821	271.397	288.795	307.368	200.102	287.581	365.342	337.222	305.265	211.573	271.707	242.474	234.667	207.554	470.966	238.741	231.717	257.805	221.147	211.200	214.615	217.382
1140140000	44.04	210.484	177.835	160.217	292.328	160.896	158.582	280.880	163.731	236.478	272.000	245.194	207.430	333.239	342.205	218.586	195.767	369.491	312.103	330.701	269.103	292.265	306.949	199.429	282.427	362.761	335.368	308.239	218.165	270.698	240.939	227.439	210.089	482.744	236.679	237.619	253.513	219.679	204.358	221.927	213.773
1140180000	44.04	214.116	180.459	161.883	285.879	173.354	170.253	264.752	161.321	238.009	273.487	255.630	209.312	338.436	341.487	220.103	202.320	375.750	322.607	328.273	261.440	283.590	305.598	200.347	280.427	368.727	335.821	311.675	221.340	273.034	237.798	219.728	206.089	484.128	241.295	232.106	254.681	213.936	211.232	221.532	216.482
1170020000	44.28	222.400	183.600	160.400	291.078	161.854	158.759	270.205	168.628	235.670	279.923	249.481	210.946	340.316	343.470	213.353	198.689	366.112	310.103	332.026	268.198	286.863	304.043	198.796	287.615	366.094	330.231	305.880	216.000	267.612	241.640	233.307	208.406	482.444	250.411	237.248	255.345	217.138	208.000	221.440	218.582
1170060000	44.28	216.895	177.941	162.717	283.448	171.208	162.152	273.880	166.962	228.609	280.333	253.954	211.602	335.197	347.154	210.612	195.398	374.259	319.863	329.479	264.474	289.709	300.641	198.684	280.462	365.017	344.265	305.368	212.000	269.440	239.351	226.246	209.743	485.598	250.902	230.089	253.124	218.991	209.600	221.789	214.036
1170100000	44.28	219.547	177.906	152.300	290.862	167.458	159.241	274.530	167.372	238.096	270.863	252.250	208.495	336.265	342.009	216.638	197.155	371.974	307.949	328.402	273.500	290.581	300.487	198.112	280.803	366.718	336.103	304.838	218.922	269.276	242.746	232.211	209.277	479.145	248.089	236.655	261.558	214.477	217.042	220.018	216.082
1170140000	44.28	216.263	178.624	165.850	285.845	173.229	161.013	270.359	167.436	231.870	272.128	253.398	212.172	333.838	346.427	220.664	194.320	379.586	314.197	328.915	268.353	284.444	310.043	196.286	287.120	363.915	336.872	298.051	210.990	276.853	246.289	228.044	205.129	475.923	253.964	232.584	251.301	224.000	213.442	221.569	218.427
